review,sentiment
Tôi thấy nó cũng hay đấy,positive
Rất là tốt ❤️,positive
Ứng dung rất hay tốt,positive
Tôi thích app này,positive
ứng dụng này khá tốt.!,positive
sac net va dep,positive
Tôi rất thích ứng dụng nay,positive
Ung dung nay danh giá 10sao,positive
Ok toi rat thich,positive
Rất hay và gửi ích,positive
Minh rat thi thich ..,positive
Ca tren tuyet voi 5sao,positive
Dùng để lưu trữ rất tốt,positive
Cất giữ ảnh tốt,positive
Soa video hay bi sap nguon,negative
Tốt. Khá tiện dụng,positive
Ứng dụng rất tốt,positive
Không bằng phiên bản cũ,negative
Rat tien loi cho nguoi dung,positive
gọn gàng và tiện ích,positive
Ok rất tuyệt vời,positive
RẤT TUYỆT VỜI 😍😍😍😍😍😍😘😘😘😘😘😙😙😙😙😙,positive
Ứng dụng  tốt rất có ích,positive
Tuyệt Vời ông mặt trời,positive
chỉnh sửa ảnh rất đẹp,positive
Ứng dụng hữu ích lém,positive
Ứng dụng xài rát là tốt,positive
Rất Rất Tốt ▼・ᴥ・▼,positive
Ứng dụng này thật tuyệt,positive
Thuận tiện cho nhu cầu,positive
Rất tốt đáng dùng,positive
Toi rat thich dung nay,positive
Co rat nhieu hinh anh dep,positive
Chuẩn men luôn tôi yêu thích,positive
Nhjn thay kung dk,neutral
Lưu ảnh tuyệt vời,positive
Rất đáng để sử dụng.,positive
Ứng dụng rất tốt,positive
tiện lợi cho người dùng,positive
Cần sao lưu nhanh hơn,negative
Tuyệt vời ông mặt trời,positive
Vào hay bị thoát ra,negative
app dùng khá ổn,neutral
khỏi lo mất ảnh cũ,positive
cũng ok lắm ý,positive
Quản lí ảnh tốt!!!!!!^_^,positive
Ưu việt ai cũng cần đến,positive
Anh moi trong that đep,positive
rất hài lòng 😊,positive
Bộ nhớ tuyệt vời,positive
Tuyệt vời mấy chế nợ,positive
Ung dung sao luu rat tot,positive
nhiều hình ảnh kg cần lưu,negative
Tôi hài lòng ưng dung,positive
